Wall time,Step,Value
1745682924.2845454,730,0.9680503606796265
1745682938.6816463,736,0.9514434337615967
1745682942.836985,738,0.9407992959022522
1745682945.019602,739,0.9279261827468872
1745682953.3901534,743,1.0606955289840698
1745682959.6640909,746,0.960798442363739
1745682961.7163196,747,1.0316412448883057
1745682967.8950229,750,1.028173804283142
1745682969.9466233,751,0.9307131767272949
1745682971.9887047,752,0.977343738079071
1745682976.1971877,754,1.0291037559509277
1745682980.3125534,756,0.920391321182251
1745682998.9435735,765,0.8975169658660889
1745683001.065382,766,0.9591190814971924
1745683007.231463,769,0.9867615103721619
1745683009.3471627,770,0.9282897114753723
1745683011.4712074,771,0.9268291592597961
1745683015.5766172,773,1.0125062465667725
1745683017.6314204,774,0.9159261584281921
1745683030.236746,780,0.9649083614349365
1745683038.5809371,784,0.9551162719726562
1745683041.4019537,785,1.0427041053771973
1745683046.0732446,787,0.9199540019035339
1745683050.35721,789,0.9898133277893066
1745683056.9705017,792,1.021215558052063
1745683059.055279,793,0.8806740641593933
1745683061.1025898,794,0.9804503917694092
1745683063.1483238,795,1.0113776922225952
1745683069.2980688,798,0.9970918297767639
1745683077.7037017,802,1.0449951887130737
1745683083.899887,805,0.8925861120223999
1745683088.0229187,807,0.933326244354248
1745683090.0908196,808,0.9880845546722412
1745683092.6345906,809,0.9061115384101868
1745683105.7281034,815,0.9591007232666016
1745683107.849982,816,0.913340151309967
1745683112.209844,818,0.8951459527015686
1745683118.4814503,821,0.9383599758148193
1745683126.9081728,825,0.9153236746788025
1745683133.168647,828,0.9110451340675354
1745683139.408278,831,0.9854381680488586
1745683141.4360132,832,0.9581016302108765
1745683149.7768157,836,1.0055826902389526
1745683153.9233718,838,0.8854353427886963
1745683164.369067,843,0.9227538108825684
1745683171.3628533,846,0.9187958836555481
1745683214.9738412,867,0.888938844203949
1745683219.15615,869,0.8806127905845642
1745683221.2105656,870,0.8979393839836121
1745683230.3321018,874,0.9700741171836853
1745683234.868258,876,0.9349821209907532
1745683243.1611302,880,1.0286296606063843
1745683247.6943378,882,0.9137694239616394
1745683253.1622133,884,0.9038339853286743
1745683260.751032,887,0.9448355436325073
1745683266.884659,890,0.9591884613037109
1745683280.3632674,896,0.978813111782074
1745683289.9372966,900,0.9518610835075378
1745683304.6195667,907,0.8876498341560364
1745683306.7530837,908,0.9116735458374023
1745683308.8433642,909,0.8719117641448975
1745683310.8738008,910,0.9197638630867004
1745683321.1562426,915,0.8445661067962646
1745683325.2658207,917,0.9343589544296265
1745683331.4458838,920,0.9380805492401123
1745683333.5668693,921,0.970781147480011
1745683335.6013086,922,0.9018371105194092
1745683337.6393514,923,0.9750935435295105
1745683355.6048837,931,0.9292247891426086
1745683357.6375577,932,0.9437874555587769
1745683363.9414709,935,0.8818140625953674
1745683378.6361272,942,0.8988514542579651
1745683384.8760688,945,0.871035099029541
1745683403.830616,954,0.9268249273300171
1745683408.8175545,956,0.818149209022522
1745683410.9558127,957,0.924471914768219
1745683413.068038,958,0.9100088477134705
1745683419.7516325,961,0.9401757121086121
1745683421.9355052,962,0.8643733263015747
1745683430.527027,966,0.8630841970443726
1745683441.8585322,971,0.9468686580657959
1745683443.933895,972,0.904037356376648
1745683452.34169,976,0.9003379940986633
1745683454.4087973,977,0.892349362373352
1745683456.5329971,978,0.972960889339447
1745683458.6799426,979,0.8998275399208069
1745683465.0087929,982,0.9209216833114624
1745683468.2894816,983,0.8011963367462158
1745683470.5635717,984,0.9004061818122864
1745683476.9542227,987,0.9345502257347107
1745683479.05008,988,0.9726774096488953
1745683495.8437347,996,0.9410312175750732
1745683506.3465748,1000,0.876234233379364
1745683511.1460726,1002,0.95904940366745
1745683515.5213466,1004,0.891072690486908
1745683517.575001,1005,1.0300041437149048
1745683523.940871,1008,0.8441198468208313
1745683532.3891585,1012,0.8672853112220764
1745683534.578176,1013,0.9412682056427002
1745683536.6515603,1014,0.8539680242538452
1745683543.4943182,1017,0.912912130355835
1745683560.20523,1025,0.9058175683021545
1745683564.30984,1027,0.853686511516571
1745683572.7230754,1031,0.9567599296569824
1745683574.7720833,1032,0.8565337657928467
1745683581.0047617,1035,0.9321379065513611
1745683585.2085068,1037,0.8912060260772705
1745683589.4025183,1039,0.9504737854003906
1745683602.5858302,1044,0.9441957473754883
1745683625.6900296,1055,0.9096949100494385
1745683629.9605727,1057,0.9365090727806091
1745683642.4301794,1063,0.9672618508338928
1745683644.4674695,1064,0.8850017786026001
1745683648.5720131,1066,0.9639893770217896
1745683652.6559153,1068,0.9373427629470825
1745683661.8652515,1072,0.9019129872322083
1745683670.0607734,1076,0.964288592338562
1745683674.2693336,1078,0.8699163794517517
1745683684.4914942,1083,0.8983924388885498
1745683686.6081843,1084,0.9975903034210205
1745683688.6738605,1085,0.9867976903915405
1745683706.1315694,1093,0.8905554413795471
1745683718.4972992,1099,0.9598968625068665
1745683726.7676878,1103,0.889232873916626
1745683728.8868136,1104,0.9045775532722473
1745683730.9330697,1105,0.9500545263290405
1745683750.533976,1114,0.8569682836532593
1745683754.7202992,1116,0.9256325364112854
1745683760.981687,1119,0.9560224413871765
1745683773.4153194,1125,0.8717954754829407
1745683775.4544525,1126,0.9022297263145447
1745683790.0521278,1133,0.9978366494178772
1745683794.2834404,1135,0.9292401075363159
